pais,departamento,localidad
URUGUAY,SALTO,PASO DEL PARQUE DEL DAYMAN
URUGUAY,SALTO,QUINTANA
URUGUAY,SALTO,SARANDI DE ARAPEY
URUGUAY,SALTO,SAUCEDO
URUGUAY,SALTO,ARENITAS BLANCAS
URUGUAY,SALTO,CELESTE
URUGUAY,SALTO,CERROS DE VERA
URUGUAY,SALTO,GARIBALDI
URUGUAY,SALTO,TERMAS DEL ARAPEY
URUGUAY,SALTO,LAS FLORES
URUGUAY,SALTO,LAURELES
URUGUAY,SALTO,LLUVERAS
URUGUAY,SALTO,MIGLIARO
URUGUAY,SALTO,OLIVERA
URUGUAY,SALTO,PASO DE LAS PIEDRAS DE ARERUNGUA
URUGUAY,SALTO,PUNTAS DE VALENTIN
URUGUAY,SALTO,RINCON DE VALENTIN
URUGUAY,SALTO,COLONIA 18 DE JULIO
URUGUAY,SALTO,PARQUE JOSE LUIS
URUGUAY,SALTO,COLONIA ITAPEBI
URUGUAY,SALTO,GUAVIYU DE ARAPEY
URUGUAY,SALTO,RUSSO
URUGUAY,SALTO,PASO CEMENTERIO
URUGUAY,SALTO,OSIMANI Y LLERENA
URUGUAY,SAN JOSE,SAN JOSE DE MAYO
URUGUAY,SAN JOSE,LIBERTAD
URUGUAY,SAN JOSE,DELTA DEL TIGRE Y VILLAS
URUGUAY,SAN JOSE,RODRIGUEZ
URUGUAY,SAN JOSE,ITUZAINGO
URUGUAY,SAN JOSE,SANTA MONICA
URUGUAY,SAN JOSE,PUNTAS DE VALDEZ
URUGUAY,SAN JOSE,GONZALEZ
URUGUAY,SAN JOSE,MAL ABRIGO
URUGUAY,SAN JOSE,PLAYA PASCUAL
URUGUAY,SAN JOSE,18 DE JULIO (PUEBLO NUEVO)
URUGUAY,SAN JOSE,RAFAEL PERAZA
URUGUAY,SAN JOSE,RAIGON
URUGUAY,SAN JOSE,SAFICI (PARQUE POSTEL)
URUGUAY,SAN JOSE,JUAN SOLER
URUGUAY,SAN JOSE,BOCA DEL CUFRE
URUGUAY,SAN JOSE,CAPURRO
URUGUAY,SAN JOSE,VILLA MARIA
URUGUAY,SAN JOSE,ECILDA PAULLIER
URUGUAY,SAN JOSE,KIYU-ORDEIG
URUGUAY,SAN JOSE,LA BOYADA
URUGUAY,SAN JOSE,CAÐADA GRANDE
URUGUAY,SAN JOSE,RINCON DEL PINO
URUGUAY,SAN JOSE,SAN GREGORIO
URUGUAY,SAN JOSE,SCAVINO
URUGUAY,SAN JOSE,MONTE GRANDE
URUGUAY,SAN JOSE,CERAMICAS DEL SUR
URUGUAY,SAN JOSE,RADIAL
URUGUAY,SAN JOSE,COLOLO TINOSA
URUGUAY,SAN JOSE,MANGRULLO
URUGUAY,SAN JOSE,CARRETA QUEMADA
URUGUAY,SAN JOSE,COSTAS DE PEREIRA
URUGUAY,SAN JOSE,COLONIA DELTA
URUGUAY,SORIANO,MERCEDES
URUGUAY,SORIANO,DOLORES
URUGUAY,SORIANO,CARDONA
URUGUAY,SORIANO,JOSE ENRIQUE RODO
URUGUAY,SORIANO,PALMITAS
URUGUAY,SORIANO,VILLA SORIANO
URUGUAY,SORIANO,PALMAR
URUGUAY,SORIANO,EGAÐA
URUGUAY,SORIANO,SANTA CATALINA
URUGUAY,SORIANO,AGRACIADA
URUGUAY,SORIANO,CASTILLOS
URUGUAY,SORIANO,RISSO
